# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_model
# start_datetime = 2025-03-13 21:14:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-7001327db8bd.json
# init = 2 (Default)
# random
#   seed = 156914137
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-profile-2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.134944
# Diagonal elements of inverse mass matrix:
# 2.47771e-05, 3.23758e-05, 4.86482e-05
40955.9,0.96512,0.134944,4,15,0,-40955.6,0.00804508,0.861592,0.0938416
40952.7,0.955217,0.134944,2,7,0,-40950.9,0.00919121,0.865398,0.0939876
40954,0.987251,0.134944,3,15,0,-40949.7,0.0101011,0.85177,0.0931254
40956.8,0.992162,0.134944,3,15,0,-40952.7,0.00936166,0.856603,0.0938482
40956.2,0.771574,0.134944,2,3,0,-40954.9,0.0082656,0.856399,0.0939105
40955.2,0.985776,0.134944,3,7,0,-40954.6,0.00869492,0.856112,0.0943032
40954.4,0.978012,0.134944,2,3,0,-40954.3,0.00949893,0.855588,0.0943949
40955.8,0.965012,0.134944,3,7,0,-40953.9,0.00921118,0.858668,0.0942018
40956.2,1,0.134944,2,3,0,-40955.7,0.00849061,0.858349,0.0941037
40956.9,0.919619,0.134944,4,15,0,-40954.5,0.00812557,0.859615,0.09309
40956.8,0.868025,0.134944,4,15,0,-40954.9,0.00963675,0.85823,0.0935972
40957.3,0.841047,0.134944,2,3,0,-40956.1,0.00837816,0.858152,0.0936369
40957.5,1,0.134944,2,3,0,-40957.2,0.00897051,0.858315,0.0936681
40957.1,0.912269,0.134944,3,15,0,-40956.5,0.00816781,0.858912,0.0935188
40955,0.763819,0.134944,2,7,0,-40954.6,0.0101973,0.859786,0.093406
40956.8,1,0.134944,2,7,0,-40955.1,0.00941916,0.860367,0.0934038
40956.5,1,0.134944,3,7,0,-40956.4,0.00802193,0.861156,0.0935244
40957.2,0.932949,0.134944,2,3,0,-40956.2,0.00856482,0.860681,0.0935635
40955.3,0.58034,0.134944,2,3,0,-40954.7,0.00987726,0.861094,0.0935959
40955.8,0.989983,0.134944,2,5,0,-40954.6,0.00947432,0.861771,0.0936524
40955.3,0.961824,0.134944,4,15,0,-40954.7,0.00799821,0.855165,0.0938365
40956.5,0.961135,0.134944,3,15,0,-40954.7,0.00984535,0.856933,0.0934768
40956.3,0.999495,0.134944,4,15,0,-40955.2,0.00970769,0.858954,0.0929869
40956.9,0.877114,0.134944,2,3,0,-40955.2,0.00828084,0.857719,0.092983
40955.9,0.835555,0.134944,3,15,0,-40954.5,0.0100409,0.858184,0.0935376
40957.3,1,0.134944,2,3,0,-40956.3,0.00938098,0.858229,0.0935496
40956.3,0.991297,0.134944,3,15,0,-40955.6,0.00806621,0.861845,0.0935337
40955.7,0.995225,0.134944,4,15,0,-40954,0.00857319,0.855817,0.0925809
40955.9,1,0.134944,2,3,0,-40955.6,0.0091712,0.856065,0.0925791
40956.2,0.976085,0.134944,4,15,0,-40954.8,0.00899564,0.862124,0.0929702
40957.1,0.483291,0.134944,2,3,0,-40950.4,0.00890679,0.86103,0.0933033
40956.9,0.999187,0.134944,2,3,0,-40956.8,0.00845035,0.861588,0.0932352
40957.5,0.992301,0.134944,3,11,0,-40956.5,0.00857186,0.857323,0.0935115
40956.7,0.984749,0.134944,3,7,0,-40956.4,0.00899746,0.854091,0.093267
40957.4,0.999665,0.134944,4,15,0,-40956.6,0.00885054,0.859919,0.0931452
40955,0.968044,0.134944,3,15,0,-40953.8,0.00857851,0.8643,0.0937268
40954.3,0.657195,0.134944,2,3,0,-40953.1,0.00951471,0.863505,0.093766
40955.7,0.897841,0.134944,3,11,0,-40952.7,0.00761428,0.858139,0.0935775
40957.6,0.819082,0.134944,2,3,0,-40954.7,0.00870281,0.857621,0.093478
40957.5,0.955217,0.134944,2,7,0,-40957.1,0.00890417,0.858349,0.0936416
40957.5,0.916515,0.134944,3,11,0,-40956.8,0.00871494,0.856796,0.0935206
40956.3,0.99126,0.134944,3,11,0,-40955.5,0.00903286,0.858957,0.0940791
40955.7,0.936339,0.134944,4,15,0,-40954.8,0.00926679,0.857206,0.0942019
40957.5,0.985457,0.134944,3,15,0,-40952.7,0.00840128,0.858746,0.0934703
40957.4,0.998161,0.134944,3,15,0,-40957.2,0.0086095,0.857246,0.093107
40955.1,0.683181,0.134944,2,7,0,-40954.1,0.0101428,0.858582,0.092943
40957.6,0.99863,0.134944,3,15,0,-40955.2,0.00877684,0.859612,0.0933156
40957.5,0.990366,0.134944,4,15,0,-40957.1,0.00896103,0.858271,0.0936461
40956.4,0.851003,0.134944,2,7,0,-40955.6,0.00797145,0.85982,0.0937632
40955.3,0.755671,0.134944,1,1,0,-40955.3,0.00756496,0.85986,0.0937699
40957.5,0.991589,0.134944,3,15,0,-40954.2,0.0087794,0.85711,0.0931531
40957.6,0.880421,0.134944,4,15,0,-40955.9,0.00912342,0.857448,0.0933539
40957.5,0.942899,0.134944,2,5,0,-40957.2,0.00922159,0.85672,0.0933565
40957.6,0.988795,0.134944,3,11,0,-40957.1,0.0084753,0.858739,0.0933251
40957.7,0.987262,0.134944,1,3,0,-40957.5,0.00896488,0.858864,0.093331
40957.1,0.851854,0.134944,1,3,0,-40956.9,0.00814761,0.858553,0.0933348
40957.7,0.969702,0.134944,2,7,0,-40956.7,0.00902778,0.858093,0.0933851
40957.2,0.850931,0.134944,3,7,0,-40956.2,0.00834168,0.860369,0.0933049
40957.7,1,0.134944,3,15,0,-40957.2,0.00893664,0.858249,0.0932391
40957.4,0.955539,0.134944,3,15,0,-40957,0.0087648,0.857355,0.0936911
40956.1,0.860577,0.134944,3,15,0,-40954.3,0.00944711,0.853259,0.0934716
40952.3,0.599429,0.134944,2,7,0,-40951.8,0.0107967,0.852461,0.0934674
40955.6,0.992598,0.134944,3,7,0,-40951.9,0.0101466,0.855875,0.0935629
40956.4,1,0.134944,3,11,0,-40955.5,0.00967503,0.859492,0.0936362
40957.2,0.934365,0.134944,1,3,0,-40956,0.0084229,0.859724,0.093626
40957.1,0.872533,0.134944,2,3,0,-40956.4,0.00825735,0.859249,0.0936205
40957.5,0.998457,0.134944,3,11,0,-40956.2,0.00927395,0.857542,0.0934599
40955.4,0.861553,0.134944,3,7,0,-40954.4,0.00908787,0.853558,0.0939975
40954.8,0.722465,0.134944,2,7,0,-40953.1,0.0101514,0.85457,0.0938368
40954.3,0.861208,0.134944,4,15,0,-40950.8,0.0075315,0.863788,0.0935785
40954.9,0.92125,0.134944,4,15,0,-40952.3,0.007917,0.862458,0.0940006
40956.1,0.97239,0.134944,4,15,0,-40954,0.0084112,0.854101,0.0935642
40955.3,0.970198,0.134944,3,15,0,-40953.8,0.00775787,0.862584,0.093639
40955.2,0.806465,0.134944,3,7,0,-40953.3,0.00906723,0.863822,0.0935951
40955,1,0.134944,2,3,0,-40954.6,0.008018,0.86411,0.0936036
40956.8,0.90257,0.134944,2,7,0,-40953.2,0.00827239,0.861418,0.0934378
40957.5,0.999829,0.134944,4,15,0,-40956.7,0.00847899,0.858409,0.0935492
40957.3,0.977911,0.134944,2,3,0,-40957.3,0.00933098,0.858285,0.0935698
40957.1,0.831981,0.134944,3,11,0,-40956,0.00811638,0.858578,0.0933644
40957.1,0.926294,0.134944,3,15,0,-40955.9,0.00927057,0.859729,0.0931094
40956.5,0.999439,0.134944,3,15,0,-40956,0.00814409,0.861897,0.0933085
40955.5,0.815642,0.134944,3,11,0,-40949.1,0.00981045,0.853942,0.0929605
40957,0.993796,0.134944,3,15,0,-40954.3,0.00904449,0.861087,0.0934618
40956.5,0.847025,0.134944,4,15,0,-40954.8,0.00911391,0.854962,0.0938631
40957.1,0.908323,0.134944,3,15,0,-40955.2,0.00843953,0.860726,0.0931832
40956.8,0.897013,0.134944,1,3,0,-40956.5,0.00804474,0.860234,0.0931938
40954.1,0.968585,0.134944,3,7,0,-40953.7,0.00764934,0.864466,0.0935832
40954.9,0.910351,0.134944,4,15,0,-40950.6,0.00981304,0.861016,0.0928115
40956.1,1,0.134944,4,15,0,-40954.3,0.00814094,0.857013,0.0939322
40957.2,0.997305,0.134944,4,15,0,-40955.5,0.00878479,0.855281,0.0934325
40956.1,0.908615,0.134944,3,11,0,-40954.4,0.00822607,0.858441,0.0940524
40955.7,0.978703,0.134944,4,15,0,-40955.6,0.00960591,0.858018,0.0940906
40955.2,0.806667,0.134944,3,11,0,-40953,0.00745915,0.858009,0.0934669
40955.7,0.946415,0.134944,2,3,0,-40954.1,0.00988316,0.86048,0.09348
40955.2,0.880861,0.134944,2,3,0,-40954.5,0.00740516,0.859625,0.0933543
40951.3,0.998569,0.134944,4,15,0,-40948.9,0.00978444,0.863698,0.0943945
40952.9,1,0.134944,4,15,0,-40951.1,0.0104117,0.852602,0.0927581
40955.7,0.893357,0.134944,4,15,0,-40950.4,0.00812682,0.854299,0.0933288
40956.4,0.998954,0.134944,4,15,0,-40954.8,0.00944935,0.854896,0.0937898
40956.6,0.891821,0.134944,4,15,0,-40955,0.00933044,0.860604,0.0930316
40955,0.985103,0.134944,3,7,0,-40954.5,0.00806486,0.862912,0.0927623
40955.1,0.849477,0.134944,4,15,0,-40951,0.00991716,0.858951,0.0927174
40956.4,1,0.134944,4,15,0,-40954.5,0.00838026,0.855807,0.09384
40956.2,0.961978,0.134944,2,3,0,-40955.9,0.00971752,0.855394,0.0937876
40955.6,0.948423,0.134944,4,15,0,-40954.6,0.00954259,0.862225,0.0933301
40957.5,0.952276,0.134944,2,7,0,-40954.4,0.00871036,0.859574,0.0932153
40957.2,0.927525,0.134944,3,15,0,-40956.3,0.00891519,0.860603,0.0935117
40957.1,0.999346,0.134944,4,15,0,-40956.8,0.00922498,0.855541,0.0935719
40957,0.92745,0.134944,2,3,0,-40956.6,0.00935317,0.855657,0.0936488
40954.9,0.988843,0.134944,4,15,0,-40954,0.00961526,0.851986,0.0930988
40956.6,0.923761,0.134944,3,7,0,-40953.9,0.00950974,0.859227,0.0929455
40953.8,0.787871,0.134944,3,15,0,-40952.8,0.00738404,0.858638,0.0926622
40954.8,0.724033,0.134944,3,15,0,-40949.9,0.0076163,0.855358,0.0932456
40954.6,0.978247,0.134944,3,15,0,-40953,0.00999329,0.852973,0.0929218
40954.2,0.923356,0.134944,2,3,0,-40953.6,0.0081511,0.852897,0.0928669
40956.1,0.99869,0.134944,3,7,0,-40954,0.00940194,0.85585,0.0927107
40955.3,0.94232,0.134944,3,7,0,-40955.3,0.00823875,0.855858,0.0926158
40956.2,0.865073,0.134944,3,15,0,-40951.5,0.00875864,0.856,0.0940575
40956.1,0.934689,0.134944,3,7,0,-40955.2,0.00927693,0.855089,0.0939982
40955.1,0.757404,0.134944,2,3,0,-40954,0.009949,0.854558,0.0939506
40954.4,0.992531,0.134944,2,3,0,-40954.2,0.00822563,0.853236,0.0939301
40956.5,1,0.134944,4,15,0,-40954.4,0.00935256,0.854148,0.0936165
40956.7,0.900134,0.134944,4,15,0,-40955.1,0.00967653,0.856538,0.0931052
40957.5,0.894683,0.134944,2,7,0,-40954.9,0.00899136,0.859173,0.0931435
40955.1,0.713161,0.134944,3,15,0,-40952.8,0.00790324,0.862316,0.0939334
40955.7,0.89699,0.134944,4,15,0,-40952.5,0.00853672,0.854494,0.0927741
40950.7,0.482288,0.134944,2,3,0,-40948.3,0.0111758,0.856277,0.0928724
40955.6,1,0.134944,2,7,0,-40951.6,0.00995998,0.856907,0.0928423
