# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_model
# start_datetime = 2025-03-13 21:14:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-7001327db8bd.json
# init = 2 (Default)
# random
#   seed = 156914137
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-profile-1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.123885
# Diagonal elements of inverse mass matrix:
# 2.4809e-05, 3.12687e-05, 4.67708e-05
40956.6,1,0.123885,2,3,0,-40953.7,0.00914963,0.861452,0.0931075
40957.4,1,0.123885,4,15,0,-40956,0.00886721,0.858352,0.0937393
40957.2,0.956964,0.123885,4,31,0,-40956.5,0.00932186,0.856233,0.093102
40957.5,0.989038,0.123885,3,15,0,-40956.8,0.00919147,0.857635,0.0935182
40953.7,0.737641,0.123885,3,15,0,-40951,0.00790574,0.854958,0.092518
40953.8,0.996011,0.123885,3,11,0,-40950.9,0.00743005,0.864192,0.0935222
40954.8,0.991572,0.123885,3,15,0,-40949.7,0.00974168,0.861768,0.0928771
40956.6,0.986878,0.123885,2,3,0,-40954.7,0.00875939,0.861424,0.0929409
40957.5,0.999877,0.123885,4,15,0,-40956.5,0.00891557,0.85852,0.0930494
40957,0.989787,0.123885,4,31,0,-40955.8,0.00862543,0.860851,0.0936563
40956.9,0.941631,0.123885,4,15,0,-40956.4,0.0081166,0.859883,0.0935821
40956.3,0.829789,0.123885,3,11,0,-40954.2,0.00923424,0.860749,0.0938794
40955.3,0.88961,0.123885,4,15,0,-40954.4,0.0079558,0.854711,0.0930889
40956.7,1,0.123885,4,15,0,-40955.3,0.00807214,0.859216,0.0929899
40957.2,0.990528,0.123885,1,3,0,-40956.5,0.00881689,0.859362,0.0929653
40957.5,0.971472,0.123885,3,15,0,-40955.9,0.00867626,0.86018,0.0933425
40955.3,0.839484,0.123885,3,15,0,-40954.3,0.00951279,0.861793,0.0928734
40955.4,1,0.123885,4,15,0,-40954.7,0.00830703,0.853482,0.0936208
40956.4,0.887551,0.123885,3,15,0,-40952.9,0.00932911,0.861381,0.0935612
40956.1,0.99926,0.123885,3,7,0,-40956.1,0.00797654,0.861807,0.0936058
40953.2,0.992152,0.123885,3,11,0,-40951.8,0.00891273,0.851212,0.0926267
40955.6,0.997068,0.123885,3,7,0,-40951.8,0.00916011,0.85438,0.0926655
40955.3,0.997002,0.123885,2,3,0,-40955.3,0.00912231,0.853843,0.0926616
40955.8,0.786853,0.123885,2,3,0,-40953.6,0.00900718,0.854009,0.0927922
40957,0.559216,0.123885,4,15,0,-40950.1,0.00827432,0.859815,0.09365
40954.2,0.941025,0.123885,3,15,0,-40953.2,0.00883779,0.865299,0.0932459
40956.8,0.954961,0.123885,4,15,0,-40951.9,0.00922974,0.855404,0.0929522
40956.4,0.999922,0.123885,4,31,0,-40956.2,0.00893287,0.860589,0.0939665
40957.3,0.997047,0.123885,4,15,0,-40955.8,0.00854608,0.859313,0.0936599
40956.3,0.998342,0.123885,4,15,0,-40956.1,0.00919753,0.855692,0.0927313
40957.2,0.964357,0.123885,3,15,0,-40954.4,0.00908598,0.858807,0.0937454
40955.2,0.940322,0.123885,3,7,0,-40954.8,0.00891167,0.863645,0.0937874
40956.3,0.992848,0.123885,4,15,0,-40954.7,0.00912692,0.862043,0.0936091
40956.6,1,0.123885,4,15,0,-40956.1,0.00941499,0.854178,0.0934186
40955.5,0.843762,0.123885,2,3,0,-40954.8,0.00995958,0.853542,0.0933553
40955.8,1,0.123885,2,3,0,-40955.4,0.00824974,0.853925,0.093329
40956.3,0.980053,0.123885,3,15,0,-40955,0.00788508,0.857993,0.0936936
40956,0.991557,0.123885,3,15,0,-40955.3,0.0099671,0.85533,0.0935692
40957.1,1,0.123885,2,3,0,-40956.1,0.00936309,0.855674,0.0935608
40956.8,0.987376,0.123885,4,15,0,-40955.9,0.00899572,0.85682,0.0939421
40956.9,0.876516,0.123885,3,7,0,-40956,0.00895366,0.856535,0.0938937
40957.3,0.945999,0.123885,2,5,0,-40956.5,0.00883578,0.857428,0.0937552
40956.2,0.882993,0.123885,3,15,0,-40954.4,0.00813089,0.857312,0.0939073
40956.7,0.98296,0.123885,3,15,0,-40951.3,0.00804971,0.858015,0.093668
40956.1,0.919826,0.123885,3,15,0,-40954.6,0.00799569,0.856908,0.0929436
40956.9,1,0.123885,2,7,0,-40955.3,0.00966988,0.857158,0.0931651
40956.5,0.766711,0.123885,3,15,0,-40953,0.0080862,0.856338,0.0935682
40955.4,0.939951,0.123885,4,15,0,-40952.6,0.00892909,0.863274,0.0929485
40955.8,0.966293,0.123885,3,7,0,-40954.7,0.00793674,0.86104,0.0928572
40957.7,0.991354,0.123885,3,15,0,-40954.9,0.00884725,0.85891,0.093364
40957.4,0.973974,0.123885,3,7,0,-40957.3,0.00841059,0.85977,0.0932667
40957.4,0.996099,0.123885,3,15,0,-40956.9,0.00852796,0.857404,0.0935599
40955.7,0.937856,0.123885,4,15,0,-40954.5,0.00797958,0.860627,0.0927508
40955.2,0.948816,0.123885,4,15,0,-40954.6,0.00964086,0.861513,0.0928746
40955.4,1,0.123885,4,15,0,-40953.8,0.00910019,0.852185,0.0932074
40954.7,0.945401,0.123885,2,3,0,-40954.6,0.00978426,0.851919,0.0931433
40955.4,0.998355,0.123885,4,15,0,-40951.3,0.00862991,0.856247,0.0942447
40956.2,0.903355,0.123885,3,7,0,-40954.4,0.0082952,0.859244,0.094025
40957.6,0.9862,0.123885,4,15,0,-40955.4,0.00914769,0.858277,0.0933496
40957,0.988591,0.123885,3,15,0,-40955.6,0.00848645,0.859564,0.0929366
40956.9,0.993127,0.123885,2,3,0,-40956.9,0.00837516,0.859804,0.0929315
40956.5,0.911244,0.123885,4,19,0,-40955.7,0.00980167,0.857862,0.0936029
40955.8,0.871476,0.123885,3,15,0,-40954.2,0.00781412,0.858201,0.0938416
40955.8,0.959437,0.123885,3,15,0,-40953.5,0.00809639,0.855413,0.0929533
40955.5,0.965161,0.123885,2,3,0,-40955,0.0100799,0.855116,0.0930386
40954.9,0.999087,0.123885,4,15,0,-40953.3,0.00932976,0.855165,0.0924336
40954.4,0.987366,0.123885,4,15,0,-40951.8,0.00818044,0.865066,0.0931051
40953.7,0.991008,0.123885,3,7,0,-40952,0.00818348,0.865935,0.093367
40953.5,0.73029,0.123885,1,3,0,-40950.9,0.00738063,0.864563,0.0933703
40954.9,1,0.123885,2,3,0,-40953.4,0.00841493,0.864779,0.0933638
40956.4,0.636022,0.123885,2,7,0,-40951.8,0.00877864,0.862583,0.0933045
40956.4,0.846723,0.123885,1,3,0,-40955.6,0.00877864,0.862583,0.0933045
40956,0.999062,0.123885,3,7,0,-40955.8,0.00844658,0.863215,0.093206
40955.7,0.876286,0.123885,4,15,0,-40954.1,0.00813131,0.855773,0.0939301
40955.4,0.998866,0.123885,4,15,0,-40954.4,0.0082005,0.860668,0.0941687
40956.5,0.950634,0.123885,2,7,0,-40954.6,0.00922666,0.859105,0.0939881
40956.2,0.93877,0.123885,2,3,0,-40955.4,0.0083499,0.859576,0.0940287
40956.8,0.950019,0.123885,2,7,0,-40955.2,0.00829638,0.859269,0.0938396
40957.3,0.976076,0.123885,4,15,0,-40956.4,0.00862743,0.856114,0.0934883
40956.9,0.984992,0.123885,3,15,0,-40956.4,0.00864562,0.854981,0.0931866
40954.4,0.81171,0.123885,4,19,0,-40952,0.00941099,0.860242,0.0943675
40955.4,0.967345,0.123885,4,15,0,-40952.1,0.00787938,0.861927,0.0938792
40955.4,0.997027,0.123885,4,15,0,-40954.1,0.00827129,0.854667,0.0939484
40956.3,1,0.123885,2,3,0,-40955.4,0.00942002,0.854775,0.0938393
40956.8,1,0.123885,4,15,0,-40956.1,0.00836401,0.861611,0.0933942
40955.1,0.770883,0.123885,2,3,0,-40954.6,0.00748796,0.861877,0.0933297
40953.9,0.811891,0.123885,2,3,0,-40953.5,0.0101794,0.861914,0.0932908
40956.9,0.998268,0.123885,3,11,0,-40953.1,0.00824554,0.85641,0.0934235
40956.7,0.896327,0.123885,3,11,0,-40954.8,0.00952532,0.859926,0.0934881
40955.7,0.987875,0.123885,3,15,0,-40954.3,0.00844537,0.863636,0.0931518
40955.3,0.906787,0.123885,2,3,0,-40955.1,0.00904224,0.863729,0.0931313
40956.2,0.999196,0.123885,2,7,0,-40954.8,0.00881261,0.862785,0.0931425
40955.8,0.995404,0.123885,2,3,0,-40955.7,0.00832638,0.863228,0.0930966
40956,0.90408,0.123885,4,15,0,-40954.1,0.00915079,0.854874,0.0927206
40956.3,0.963888,0.123885,3,7,0,-40954.9,0.00858552,0.856963,0.0926735
40956.8,0.933094,0.123885,4,15,0,-40955.6,0.00953311,0.85984,0.0934425
40955.5,0.997366,0.123885,3,15,0,-40954.6,0.00893133,0.863231,0.0929731
40955.5,0.998351,0.123885,4,15,0,-40954.8,0.00884237,0.852618,0.0931142
40957,0.996031,0.123885,4,15,0,-40954.8,0.00865971,0.859185,0.0928419
40957.6,0.970161,0.123885,3,15,0,-40956,0.00859801,0.857583,0.0933091
40956.3,0.961334,0.123885,3,15,0,-40956,0.00804471,0.861743,0.0935455
40957.5,0.902903,0.123885,4,15,0,-40954.2,0.00859341,0.857965,0.0931283
40957.1,0.962877,0.123885,4,15,0,-40956.7,0.00833463,0.858859,0.0936921
40956.8,0.789276,0.123885,2,5,0,-40955,0.00919396,0.858615,0.0939089
40954.8,0.964861,0.123885,2,7,0,-40953.4,0.00851694,0.85839,0.0944139
40957.7,0.991607,0.123885,3,15,0,-40954.7,0.00888711,0.858324,0.0935002
40956.6,0.787234,0.123885,2,7,0,-40955.9,0.00793525,0.857888,0.0935412
40951.1,0.711246,0.123885,2,7,0,-40949.8,0.0109316,0.860601,0.0935636
40955.5,0.991362,0.123885,2,7,0,-40951.3,0.00752018,0.858497,0.0935496
40957,0.997654,0.123885,3,13,0,-40955,0.00935435,0.859923,0.0931849
40957.2,0.999895,0.123885,3,15,0,-40956.8,0.00931761,0.856081,0.093129
40956.9,0.941952,0.123885,2,7,0,-40955.8,0.00866894,0.85522,0.093078
40956.4,0.892859,0.123885,3,9,0,-40955.7,0.0078842,0.857615,0.0932115
40956.1,0.995224,0.123885,3,15,0,-40955.5,0.00798134,0.856915,0.0937926
40955.1,0.9023,0.123885,3,15,0,-40953.8,0.00990639,0.857829,0.0940662
40952.8,0.818553,0.123885,2,3,0,-40952.2,0.0071258,0.856983,0.0939633
40957.3,0.986869,0.123885,2,7,0,-40952.1,0.00877956,0.858283,0.0937886
40957.2,0.880219,0.123885,2,3,0,-40956.3,0.00887217,0.857521,0.0938062
40957.7,0.932242,0.123885,3,15,0,-40956.3,0.00883691,0.857759,0.0935126
40956.5,0.988002,0.123885,3,7,0,-40956.5,0.00905301,0.853789,0.0934224
40956.5,0.823079,0.123885,3,15,0,-40953.4,0.00785683,0.859946,0.0934436
40955.9,0.998324,0.123885,3,11,0,-40955.5,0.00800602,0.857141,0.0939272
40951.6,0.761461,0.123885,2,7,0,-40948.4,0.0105925,0.85737,0.094381
40954.2,0.665041,0.123885,2,7,0,-40948.1,0.00813396,0.857707,0.0944273
40954.7,0.93112,0.123885,3,7,0,-40953.4,0.00785652,0.857646,0.09418
40955.4,0.988211,0.123885,2,7,0,-40953.7,0.00983799,0.859696,0.0939037
40956.7,0.902767,0.123885,3,15,0,-40953.5,0.00836642,0.86033,0.093819
40956.1,0.992586,0.123885,4,15,0,-40955.6,0.00946523,0.854638,0.0928569
40954.6,0.726193,0.123885,3,15,0,-40952.2,0.0104093,0.856563,0.0937026
40957.1,1,0.123885,2,3,0,-40954.7,0.00921184,0.856266,0.0937333
40957,0.997621,0.123885,2,3,0,-40956.9,0.00925781,0.85616,0.0937579
40957.1,0.97518,0.123885,4,23,0,-40955.8,0.00926164,0.859812,0.0930937
40954.5,0.662969,0.123885,2,3,0,-40952.7,0.0100752,0.860936,0.0930006
40955.6,0.96384,0.123885,3,7,0,-40952.9,0.00835041,0.863598,0.0931265
40957.4,0.91973,0.123885,2,7,0,-40954.3,0.00898888,0.859864,0.0932263
40957.1,0.90009,0.123885,4,15,0,-40954.8,0.00944254,0.855509,0.0933311
40957.4,0.99686,0.123885,2,3,0,-40957,0.00852778,0.856519,0.0933268
40957.6,0.99997,0.123885,4,31,0,-40957.2,0.00906032,0.857063,0.093236
40956.6,0.904862,0.123885,4,15,0,-40955.8,0.0081292,0.857701,0.0937876
40957.1,0.999581,0.123885,3,15,0,-40956.2,0.00825995,0.860244,0.0934801
40957.7,0.961291,0.123885,3,13,0,-40956.7,0.00862953,0.858662,0.0933246
40957.5,0.992565,0.123885,4,15,0,-40957.4,0.00883263,0.857751,0.0936485
40957.1,0.993995,0.123885,3,7,0,-40956.9,0.0089746,0.85542,0.0936555
40956.9,0.761332,0.123885,2,3,0,-40954.8,0.00912454,0.856025,0.0938122
40953.9,0.659093,0.123885,2,3,0,-40952.9,0.0105366,0.855379,0.0937915
40956.1,0.795973,0.123885,2,3,0,-40951,0.00989845,0.856305,0.0937249
40957.5,0.988296,0.123885,3,15,0,-40955,0.00898608,0.856949,0.0936256
40957.3,0.991972,0.123885,3,15,0,-40956.4,0.0091074,0.857082,0.0937334
40956.9,0.933926,0.123885,4,15,0,-40956,0.00825459,0.85661,0.0935293
40956.4,0.87954,0.123885,3,15,0,-40955,0.00857551,0.854214,0.0935385
40955.3,0.699959,0.123885,2,7,0,-40952,0.00768466,0.855786,0.0933373
40956,0.992927,0.123885,3,15,0,-40953.6,0.00800555,0.855408,0.0931986
40956.3,0.999105,0.123885,4,31,0,-40955.5,0.00975332,0.858607,0.0937504
40956,0.995547,0.123885,4,15,0,-40955,0.00845212,0.853799,0.093451
40956.1,1,0.123885,4,15,0,-40955.1,0.00920506,0.860611,0.0927589
40953.3,0.988531,0.123885,4,31,0,-40951.3,0.00886737,0.866045,0.0936258
40955.3,0.985911,0.123885,4,15,0,-40951.6,0.00935372,0.855373,0.0942033
40954.9,0.990498,0.123885,2,3,0,-40954.7,0.00869386,0.854484,0.094224
40953.9,0.933936,0.123885,4,15,0,-40953.3,0.00786809,0.861439,0.0924096
40954.1,0.998423,0.123885,2,3,0,-40953.5,0.00947225,0.861473,0.0924606
40956,1,0.123885,5,31,0,-40954.2,0.00895635,0.854696,0.0939757
40956.7,1,0.123885,4,15,0,-40955.6,0.00863848,0.86004,0.0939162
40956.9,0.999984,0.123885,4,15,0,-40956.4,0.00880688,0.857282,0.0939242
40957.5,0.986913,0.123885,4,15,0,-40956.6,0.00875335,0.860075,0.0934002
40957.4,0.983379,0.123885,4,15,0,-40957.3,0.00918926,0.856358,0.0931671
40957.5,0.904045,0.123885,3,11,0,-40955.1,0.00857615,0.859794,0.0934178
40956.8,0.946302,0.123885,4,15,0,-40956,0.00860584,0.860614,0.092899
40957.4,0.987534,0.123885,3,15,0,-40956.1,0.00896132,0.857792,0.0929855
40957.7,0.953849,0.123885,3,15,0,-40955.6,0.00869243,0.858825,0.0934111
40957.4,0.96301,0.123885,2,3,0,-40957.4,0.00835733,0.859004,0.0934088
40954.4,0.987441,0.123885,4,15,0,-40953.4,0.00962438,0.851553,0.0937519
40955.2,0.995211,0.123885,3,15,0,-40952.9,0.00958427,0.852806,0.0938067
40955.1,0.932847,0.123885,2,3,0,-40954.3,0.00969192,0.852629,0.093721
40956.3,0.999432,0.123885,3,15,0,-40953,0.00860801,0.854381,0.093032
40956.2,0.947895,0.123885,3,7,0,-40955.4,0.00828376,0.85462,0.0932399
40956.7,0.999785,0.123885,4,23,0,-40955.9,0.00819232,0.855997,0.0934779
40956.8,0.99156,0.123885,4,15,0,-40955.8,0.00912707,0.855756,0.0938086
40957.1,0.748839,0.123885,4,15,0,-40953.1,0.00919831,0.855203,0.0931893
