# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_model
# start_datetime = 2025-03-13 21:14:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-7001327db8bd.json
# init = 2 (Default)
# random
#   seed = 156914137
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-3.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-profile-3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.137381
# Diagonal elements of inverse mass matrix:
# 2.48724e-05, 3.29028e-05, 4.63398e-05
40954.8,0.985597,0.137381,2,3,0,-40954.5,0.00863157,0.862084,0.094236
40955,0.942691,0.137381,4,15,0,-40952.6,0.00927694,0.854233,0.0941934
40955.7,0.999944,0.137381,4,15,0,-40954,0.00849865,0.861688,0.0940499
40956.3,0.999815,0.137381,3,7,0,-40955.5,0.00865758,0.860958,0.09397
40957,0.864113,0.137381,4,15,0,-40954.7,0.00917068,0.858472,0.0928931
40956.9,0.860227,0.137381,2,3,0,-40956.2,0.0082249,0.858228,0.0929771
40956.7,0.998525,0.137381,4,23,0,-40955.6,0.00924899,0.860237,0.09376
40956,0.817923,0.137381,1,1,0,-40955.9,0.00962163,0.860465,0.0937567
40957.3,0.901301,0.137381,2,3,0,-40955.2,0.00895507,0.859808,0.0936744
40957.6,0.995569,0.137381,4,15,0,-40956.6,0.00861074,0.857808,0.0932628
40956,0.965861,0.137381,3,15,0,-40955.8,0.00816109,0.862878,0.0934516
40956.7,0.940517,0.137381,3,15,0,-40954.3,0.00908692,0.861564,0.0933947
40955.8,0.991459,0.137381,3,7,0,-40954.8,0.00901473,0.862966,0.0936478
40956.2,0.987481,0.137381,3,15,0,-40955.3,0.00804379,0.862192,0.0934806
40956.9,1,0.137381,4,15,0,-40955.6,0.00935955,0.855886,0.0937353
40957.3,0.954757,0.137381,3,15,0,-40955.6,0.00900833,0.856078,0.0930765
40957,0.948615,0.137381,3,15,0,-40953.2,0.00904687,0.856363,0.0938195
40957.5,0.909778,0.137381,4,15,0,-40956.1,0.00862484,0.857691,0.0930986
40957.2,0.98096,0.137381,2,5,0,-40957,0.00909095,0.85637,0.0930016
40957.5,0.999081,0.137381,4,15,0,-40957.1,0.00886065,0.856473,0.0931706
40957.3,0.910519,0.137381,2,7,0,-40955.8,0.00839523,0.859007,0.093103
40955,0.504803,0.137381,2,3,0,-40954.2,0.0102844,0.857864,0.0930631
40955.5,0.917258,0.137381,2,3,0,-40953.5,0.00780255,0.858459,0.0927694
40955.2,0.846664,0.137381,3,15,0,-40953.3,0.0102564,0.85723,0.0931343
40956.7,0.955922,0.137381,3,11,0,-40954.5,0.00947675,0.858947,0.0937543
40956.7,0.925444,0.137381,2,7,0,-40954.2,0.00839377,0.859229,0.0939246
40957.2,0.993963,0.137381,4,15,0,-40956.5,0.0084647,0.857282,0.0930276
40955.5,0.802981,0.137381,3,15,0,-40953.1,0.00925689,0.852372,0.0931404
40955.4,0.957993,0.137381,4,15,0,-40954.3,0.00816684,0.863156,0.0929105
40956.5,1,0.137381,4,15,0,-40954.5,0.00891094,0.862251,0.0931752
40956.6,1,0.137381,2,3,0,-40956.4,0.0085196,0.861936,0.0931322
40956.4,0.840358,0.137381,3,15,0,-40955.3,0.00845,0.861739,0.0929558
40956.7,0.923873,0.137381,4,15,0,-40955.4,0.00824854,0.85743,0.092926
40957.5,0.939397,0.137381,4,15,0,-40956.2,0.00869801,0.857546,0.0935788
40957.5,0.968777,0.137381,2,7,0,-40957.1,0.00916315,0.858086,0.0935517
40956.4,0.904763,0.137381,2,7,0,-40953.5,0.00930972,0.854534,0.0937729
40957,0.919494,0.137381,3,15,0,-40953.9,0.00826993,0.856375,0.0934398
40957.1,0.998091,0.137381,4,15,0,-40956.3,0.00864076,0.859241,0.093829
40956.4,0.786045,0.137381,4,15,0,-40955,0.00791539,0.860971,0.0934119
