# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-18 19:28:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpi04oWE/standata-cac65c3f9136.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-3.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.155328
# Diagonal elements of inverse mass matrix:
# 0.00397854, 0.00631198, 0.00116728, 9.49974e-05, 0.000749966
296.784,0.997302,0.155328,4,31,0,-293.74,0.0961453,0.423643,0.0205256,0.0593284,0.349776
297.288,0.960402,0.155328,4,15,0,-296.285,0.107849,0.405199,0.0242336,0.0518675,0.349185
296.058,0.99848,0.155328,4,15,0,-295.373,0.132485,0.416922,-0.0139738,0.0583911,0.336752
296.583,0.996666,0.155328,5,31,0,-294.385,0.266349,0.258549,-0.00597727,0.0472458,0.362051
294.556,0.99792,0.155328,5,31,0,-293.386,0.23513,0.425581,-0.0591021,0.0349067,0.345954
293.435,0.999597,0.155328,3,7,0,-293.104,0.250358,0.459741,-0.0562618,0.0320903,0.34845
291.627,0.997823,0.155328,5,31,0,-286.468,0.242689,0.39347,-0.0762833,0.0469175,0.380637
296.241,0.99865,0.155328,4,31,0,-285.889,0.169137,0.444565,0.0218474,0.0360454,0.341147
291.038,0.760734,0.155328,4,15,0,-289.091,0.0575227,0.553361,0.00945839,0.0419474,0.340387
293.926,0.989815,0.155328,4,31,0,-287.988,0.14564,0.311624,-0.00582668,0.0709733,0.356176
294.694,0.997779,0.155328,4,31,0,-290.047,0.0270109,0.497708,0.0624023,0.051628,0.351899
297.336,0.999584,0.155328,4,31,0,-292.61,0.242122,0.320296,-0.0107234,0.0389103,0.342299
296.887,0.800425,0.155328,5,31,0,-294.094,0.228325,0.226726,0.0227696,0.0537042,0.344167
297.699,0.992828,0.155328,4,15,0,-296.151,0.205915,0.303789,-0.000878779,0.0486685,0.337865
296.824,0.879287,0.155328,4,23,0,-295.141,0.204521,0.336705,0.00424798,0.0517971,0.341354
296.237,0.965101,0.155328,3,11,0,-293.145,0.206397,0.318722,0.0064884,0.0540192,0.339546
297.374,0.999563,0.155328,5,31,0,-295.077,0.197434,0.368553,0.0228895,0.0440383,0.351273
298.077,1,0.155328,2,3,0,-297.466,0.185007,0.356129,0.0193429,0.0427406,0.350233
296.966,0.985472,0.155328,4,31,0,-296.52,0.193488,0.324816,-0.032297,0.0585717,0.354836
294.732,0.642347,0.155328,2,7,0,-292.717,0.177079,0.316009,-0.0417446,0.0565402,0.354964
294.799,0.997987,0.155328,2,3,0,-293.944,0.173587,0.320749,-0.040618,0.0564816,0.35406
294.887,0.989608,0.155328,5,31,0,-293.263,0.182864,0.330084,0.0508873,0.0362557,0.340005
297.778,0.988017,0.155328,4,15,0,-294.396,0.203058,0.354367,-0.0251264,0.0508826,0.354205
292.864,0.979662,0.155328,4,15,0,-292.124,0.27116,0.390927,-0.0963836,0.0400709,0.365328
293.063,0.901232,0.155328,5,31,0,-290.641,0.257577,0.403636,-0.096677,0.0462954,0.361567
296.327,0.99193,0.155328,4,15,0,-292.205,0.208713,0.397499,-0.0351463,0.0460885,0.363578
296.391,0.889624,0.155328,4,15,0,-293.783,0.198739,0.384229,-0.0373711,0.0449014,0.360817
295.843,0.90356,0.155328,5,31,0,-293.964,0.161664,0.249417,0.0432927,0.057689,0.338987
297.232,0.999995,0.155328,4,31,0,-294.865,0.208433,0.370955,0.0215436,0.0390063,0.35692
295.615,0.997459,0.155328,4,15,0,-294.764,0.186778,0.374436,0.0561023,0.035716,0.363526
296.074,0.993924,0.155328,4,15,0,-295.413,0.181421,0.367083,0.0461664,0.0371368,0.363872
295.895,0.970354,0.155328,5,31,0,-292.435,0.122874,0.317466,0.0292897,0.0662333,0.346332
296.645,0.820167,0.155328,5,31,0,-293.178,0.159127,0.286717,0.0345838,0.0590266,0.337735
297.782,0.998342,0.155328,4,31,0,-295.751,0.200791,0.288139,0.00492399,0.0547453,0.342164
294.295,0.98555,0.155328,4,15,0,-293.887,0.228232,0.210577,0.0153741,0.0538849,0.326645
295.717,0.98521,0.155328,4,15,0,-293.531,0.239207,0.223727,0.0320045,0.0489675,0.332544
294.045,0.779725,0.155328,5,31,0,-291.777,0.202279,0.251012,0.0623238,0.0541337,0.339247
294.964,1,0.155328,5,31,0,-292.992,0.186367,0.430336,-0.0310447,0.03742,0.349069
297.009,0.99344,0.155328,4,31,0,-293.244,0.176802,0.287241,-0.00281113,0.0578279,0.35679
297.031,0.98064,0.155328,4,15,0,-295.206,0.204452,0.276834,0.025476,0.0463863,0.359758
297.592,0.9846,0.155328,5,31,0,-296.068,0.125714,0.434152,0.0156132,0.0501382,0.345284
298.025,0.999711,0.155328,4,15,0,-297.488,0.1515,0.403385,0.00748666,0.049986,0.345371
296.63,0.822569,0.155328,4,23,0,-294.02,0.198175,0.426791,-0.00913319,0.0411424,0.34332
295.487,0.955062,0.155328,5,31,0,-294.73,0.174371,0.235904,0.0474445,0.0531999,0.355481
294.717,0.999884,0.155328,5,31,0,-293.426,0.137306,0.515146,0.00470207,0.0417675,0.352624
296.693,0.992919,0.155328,4,31,0,-293.37,0.0842751,0.409726,0.0531996,0.0571762,0.345809
295.288,0.927095,0.155328,4,15,0,-294.787,0.0681644,0.413918,0.0641896,0.060725,0.354139
296.631,0.853563,0.155328,4,31,0,-292.911,0.088307,0.377686,0.055317,0.0554217,0.355781
293.287,0.836759,0.155328,4,31,0,-291.558,0.139545,0.310121,0.0812609,0.0454844,0.373607
297.053,0.800871,0.155328,4,31,0,-289.706,0.127497,0.42592,0.0156377,0.0523004,0.338651
297.187,0.997532,0.155328,5,31,0,-295.921,0.160914,0.385418,0.0460412,0.0434947,0.357372
295.734,0.99698,0.155328,4,15,0,-294.933,0.153931,0.459717,0.0327572,0.0361236,0.358919
297.261,0.999038,0.155328,4,31,0,-294.84,0.188594,0.396799,0.0275996,0.0371267,0.34803
297.496,0.890843,0.155328,5,31,0,-295.85,0.206905,0.293547,-0.0165364,0.0533805,0.33983
297.171,0.95245,0.155328,4,31,0,-295.583,0.229363,0.27258,-0.0237723,0.0519211,0.339465
296.822,0.999928,0.155328,4,15,0,-295.901,0.225459,0.266652,0.0155121,0.0505777,0.334183
296.54,0.997418,0.155328,3,7,0,-296.205,0.229127,0.26669,0.0141724,0.0499985,0.332262
295.584,0.911461,0.155328,4,31,0,-292.316,0.229326,0.262797,0.00946792,0.048537,0.372967
294.725,0.841901,0.155328,5,31,0,-292.565,0.215541,0.358942,0.0213932,0.0427491,0.328808
293.536,0.999803,0.155328,5,31,0,-291.943,0.184551,0.391003,0.0655563,0.0371058,0.333644
292.533,0.998328,0.155328,3,7,0,-291.694,0.179947,0.370114,0.0710056,0.0296646,0.332838
297.626,1,0.155328,4,15,0,-291.947,0.166032,0.368877,0.0358338,0.0418055,0.350695
298.267,0.591563,0.155328,3,15,0,-292.609,0.1879,0.363211,0.0167006,0.043602,0.350452
297.714,0.982725,0.155328,4,31,0,-297.4,0.134677,0.335366,0.0335933,0.0564462,0.352229
297.035,0.989722,0.155328,4,31,0,-294.921,0.134492,0.350197,0.00564639,0.0618873,0.343057
297.802,0.983973,0.155328,5,31,0,-295.139,0.22677,0.276497,0.00724721,0.0476982,0.339353
297.317,0.961587,0.155328,4,23,0,-294.627,0.199749,0.360513,0.0281869,0.0374065,0.354617
288.656,0.967644,0.155328,5,31,0,-285.725,-0.0247087,0.521297,0.148662,0.0451438,0.353896
291.269,0.700299,0.155328,5,31,0,-281.728,0.115258,0.547681,0.00689032,0.0471642,0.346951
292.8,0.959339,0.155328,4,15,0,-289.545,0.0713283,0.489524,0.0217155,0.0437622,0.347552
295.731,0.948449,0.155328,5,31,0,-290.574,0.160818,0.344698,0.03301,0.056298,0.361536
297.903,0.999994,0.155328,4,31,0,-294.318,0.138347,0.41295,0.0201511,0.0493656,0.350807
297.611,0.998178,0.155328,4,31,0,-297.355,0.144228,0.432233,0.0199176,0.0444452,0.346489
297.706,0.9762,0.155328,5,31,0,-296.446,0.24198,0.341293,-0.0139522,0.0389548,0.350998
289.264,0.767917,0.155328,4,31,0,-285.001,0.293402,0.455623,-0.0710137,0.0300051,0.367619
289.334,0.813912,0.155328,3,7,0,-285.507,0.30061,0.451228,-0.0635951,0.0265658,0.367506
293.631,0.855957,0.155328,4,15,0,-285.893,0.274477,0.363378,-0.0515461,0.0342554,0.372974
296.003,0.964157,0.155328,5,31,0,-291.428,0.166136,0.271094,0.0370684,0.0591046,0.334563
295.477,0.916347,0.155328,5,31,0,-293.394,0.235729,0.345241,-0.0203969,0.0370666,0.366317
295.711,0.919604,0.155328,5,31,0,-292.49,0.170724,0.287765,0.00142351,0.0548601,0.337427
296.229,1,0.155328,4,15,0,-293.562,0.179312,0.34567,-0.0308365,0.0509276,0.345368
297.506,0.999361,0.155328,5,31,0,-294.519,0.211786,0.331479,0.0343841,0.0380724,0.347743
297.086,0.975037,0.155328,4,31,0,-295.897,0.199003,0.362032,0.043283,0.038436,0.34866
297.137,0.935325,0.155328,4,31,0,-295.729,0.138841,0.400894,-0.00100366,0.0489825,0.344331
296.654,0.91655,0.155328,4,19,0,-295.381,0.123176,0.358165,0.0342804,0.050558,0.345162
297.053,0.998127,0.155328,4,23,0,-295.666,0.222458,0.277225,0.00562006,0.0542828,0.352098
294.777,0.81031,0.155328,4,23,0,-293.769,0.235459,0.313334,-0.0181454,0.0550506,0.347693
293.138,0.996874,0.155328,4,15,0,-292.484,0.268181,0.190691,-0.0302818,0.0489282,0.339674
296.611,0.994652,0.155328,2,7,0,-293.033,0.271164,0.229537,-0.0232802,0.0514012,0.339521
297.589,0.956634,0.155328,4,15,0,-295.64,0.225277,0.28008,0.0233704,0.0428338,0.342414
296.511,0.972769,0.155328,4,31,0,-295.397,0.202974,0.281075,0.0449608,0.047811,0.333925
290.711,0.987912,0.155328,4,15,0,-288.484,0.0832293,0.362303,0.0408867,0.0633769,0.316289
295.511,0.999433,0.155328,4,31,0,-289.119,0.23873,0.325713,-0.0176631,0.0442269,0.373741
296.183,0.898565,0.155328,4,15,0,-294.135,0.245343,0.346777,-0.0316713,0.0469374,0.360063
297.5,0.997931,0.155328,5,31,0,-294.681,0.252766,0.261177,0.00884111,0.0452272,0.340715
296.667,0.829116,0.155328,5,31,0,-294.09,0.172286,0.359107,-0.00737007,0.0469286,0.359464
296.758,0.998047,0.155328,5,31,0,-295.904,0.159266,0.406021,-0.0103413,0.0549423,0.348044
297.853,1,0.155328,2,7,0,-296.529,0.152038,0.384445,-0.0092219,0.0522874,0.350118
296.957,0.925317,0.155328,5,31,0,-296.654,0.160033,0.392671,-0.017187,0.0478363,0.352704
294.703,0.847054,0.155328,4,31,0,-293.216,0.296528,0.277789,-0.0219775,0.0450971,0.358261
295.223,0.977513,0.155328,5,31,0,-292.273,0.0976016,0.453932,0.0514461,0.0513377,0.338255
297.275,0.964509,0.155328,5,31,0,-294.395,0.144288,0.412605,0.0157725,0.0511413,0.356143
