# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-13 21:35:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-700158b1c6c4.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.152048
# Diagonal elements of inverse mass matrix:
# 0.00390571, 0.0054654, 0.00121953, 8.78946e-05, 0.000891193
297.082,0.997927,0.152048,4,15,0,-294.559,0.118081,0.333517,0.0167607,0.0621325,0.344633
294.345,0.729301,0.152048,4,31,0,-287.747,0.172477,0.37006,-0.00446079,0.0599998,0.341756
292.869,0.997435,0.152048,5,31,0,-290.443,0.265043,0.320405,-0.0210043,0.0284957,0.348898
293.195,0.938583,0.152048,5,31,0,-288.135,0.266256,0.173562,-0.0472682,0.0562563,0.357051
295.498,0.999042,0.152048,5,31,0,-291.604,0.332301,0.267087,-0.053538,0.034047,0.343998
296.39,0.988382,0.152048,5,31,0,-293.776,0.304312,0.219011,-0.0528347,0.049098,0.347926
297.916,0.994318,0.152048,5,31,0,-294.604,0.216195,0.307839,0.0393145,0.0412912,0.352048
297.923,0.996451,0.152048,5,31,0,-296.837,0.250087,0.273418,-0.00703057,0.0476038,0.357179
297.722,0.705642,0.152048,3,15,0,-294.35,0.252799,0.287602,-0.0229244,0.0498248,0.351653
297.506,0.98468,0.152048,5,31,0,-295.8,0.117704,0.412126,0.0507118,0.0487778,0.341562
297.37,0.96567,0.152048,4,31,0,-294.858,0.243406,0.295945,-0.0291767,0.0451474,0.338833
297.377,0.996583,0.152048,5,31,0,-296.293,0.168454,0.371486,0.0197174,0.0503137,0.362646
297.29,0.98658,0.152048,5,31,0,-294.798,0.106849,0.402215,0.0348265,0.0541331,0.335993
297.668,0.984625,0.152048,5,31,0,-294.851,0.227197,0.387537,-0.0227368,0.0396029,0.351474
296.542,0.954315,0.152048,4,15,0,-294.116,0.173539,0.418536,-0.0509431,0.0514035,0.356396
297.78,0.99854,0.152048,5,31,0,-295.921,0.23283,0.241032,0.0256196,0.0465907,0.349821
297.969,0.985452,0.152048,4,31,0,-296.093,0.252407,0.273537,0.0140126,0.0433647,0.34497
296.741,0.696434,0.152048,3,7,0,-293.401,0.230632,0.224113,0.0210574,0.0489762,0.337482
296.6,0.997521,0.152048,5,31,0,-294.435,0.203429,0.386134,-0.0390297,0.0455347,0.364516
296.961,0.999581,0.152048,5,31,0,-295.638,0.192959,0.319204,0.0446744,0.0412569,0.334699
298.343,0.990851,0.152048,4,15,0,-296.417,0.150094,0.344971,0.027915,0.054099,0.353758
298.563,0.91751,0.152048,4,31,0,-295.843,0.177692,0.333457,0.0113656,0.0486433,0.350711
297.756,0.998231,0.152048,3,11,0,-296.554,0.17395,0.283329,0.00967334,0.0596072,0.347572
296.797,0.620298,0.152048,3,11,0,-292.527,0.187408,0.335804,0.00403844,0.0567324,0.35213
298.333,0.987766,0.152048,4,23,0,-296.428,0.172246,0.380016,0.00169687,0.050856,0.351106
298.618,0.971633,0.152048,3,15,0,-296.259,0.182658,0.370047,0.00723117,0.0478663,0.346636
297.611,0.858773,0.152048,5,31,0,-293.951,0.126683,0.354813,0.0130749,0.0609787,0.353593
297.108,0.998818,0.152048,4,31,0,-296.471,0.0935874,0.390442,0.0195991,0.0611306,0.355908
298.54,0.999658,0.152048,4,15,0,-296.616,0.148359,0.354533,0.0158539,0.0535582,0.345479
297.698,0.996284,0.152048,4,31,0,-295.834,0.17984,0.283624,0.0559199,0.0493809,0.349433
296.474,0.90032,0.152048,4,31,0,-293.364,0.2753,0.19147,-0.0196836,0.0529465,0.342862
298.066,0.983796,0.152048,5,31,0,-294.836,0.165046,0.378294,0.0349544,0.0445478,0.356575
298.648,0.999472,0.152048,4,31,0,-297.458,0.166033,0.346763,0.0109156,0.0527497,0.352114
298.647,0.860461,0.152048,4,23,0,-296.716,0.18307,0.345042,0.00138934,0.0520789,0.347556
297.813,0.894301,0.152048,3,15,0,-297.05,0.154125,0.373512,-0.00628617,0.0502835,0.348781
295.621,0.715114,0.152048,4,23,0,-290.789,0.168885,0.402845,0.0113686,0.0517549,0.360945
296.614,0.871523,0.152048,4,23,0,-291.825,0.1658,0.314128,0.00385691,0.054312,0.366327
295.807,0.946463,0.152048,4,23,0,-295.088,0.171986,0.403655,0.024165,0.0450189,0.329611
297.881,0.995541,0.152048,4,15,0,-295.101,0.202223,0.330897,-0.00508384,0.0456335,0.337805
